Year,SeriesCode,Страна ,Fiscal intervention stage,Value
2015,SI_DST_FISP,Albania,POSTFIS_DIS_INC,34.52
2015,SI_DST_FISP,Albania,POSTFIS_CON_INC,34.53
2015,SI_DST_FISP,Albania,PREFIS_INC,36.93
2015,SI_DST_FISP,Australia,PREFIS_INC,41.2
2015,SI_DST_FISP,Australia,POSTFIS_DIS_INC,31.3
2017,SI_DST_FISP,Australia,POSTFIS_DIS_INC,31.3
2017,SI_DST_FISP,Australia,PREFIS_INC,41.7
2015,SI_DST_FISP,Austria,PREFIS_INC,41.80802
2015,SI_DST_FISP,Austria,POSTFIS_DIS_INC,27.567244
2016,SI_DST_FISP,Austria,PREFIS_INC,42.117084
2016,SI_DST_FISP,Austria,POSTFIS_DIS_INC,27.618231
2017,SI_DST_FISP,Austria,PREFIS_INC,42.881101
2017,SI_DST_FISP,Austria,POSTFIS_DIS_INC,28.560742
2018,SI_DST_FISP,Austria,PREFIS_INC,41.93482
2018,SI_DST_FISP,Austria,POSTFIS_DIS_INC,27.667912
2019,SI_DST_FISP,Austria,POSTFIS_DIS_INC,28.425984
2019,SI_DST_FISP,Austria,PREFIS_INC,42.667984
2020,SI_DST_FISP,Austria,PREFIS_INC,41.798588
2020,SI_DST_FISP,Austria,POSTFIS_DIS_INC,27.381612
2017,SI_DST_FISP,Armenia,PREFIS_INC,33.3
2017,SI_DST_FISP,Armenia,POSTFIS_DIS_INC,28.7
2017,SI_DST_FISP,Armenia,POSTFIS_CON_INC,28.7
2015,SI_DST_FISP,Belgium,PREFIS_INC,42.668634
2015,SI_DST_FISP,Belgium,POSTFIS_DIS_INC,26.81302
2016,SI_DST_FISP,Belgium,PREFIS_INC,42.869789
2016,SI_DST_FISP,Belgium,POSTFIS_DIS_INC,26.821057
2017,SI_DST_FISP,Belgium,PREFIS_INC,42.841366
2017,SI_DST_FISP,Belgium,POSTFIS_DIS_INC,26.957031
2018,SI_DST_FISP,Belgium,PREFIS_INC,41.198671
2018,SI_DST_FISP,Belgium,POSTFIS_DIS_INC,26.30452
2019,SI_DST_FISP,Belgium,PREFIS_INC,41.717935
2019,SI_DST_FISP,Belgium,POSTFIS_DIS_INC,25.73437
2020,SI_DST_FISP,Belgium,POSTFIS_DIS_INC,26.061434
2020,SI_DST_FISP,Belgium,PREFIS_INC,41.161295
2015,SI_DST_FISP,Belarus,PREFIS_INC,29.2
2015,SI_DST_FISP,Belarus,POSTFIS_DIS_INC,26.7
2015,SI_DST_FISP,Belarus,POSTFIS_CON_INC,27.0
2015,SI_DST_FISP,Canada,PREFIS_INC,39.8
2015,SI_DST_FISP,Canada,POSTFIS_DIS_INC,31.6
2016,SI_DST_FISP,Canada,PREFIS_INC,40.8
2016,SI_DST_FISP,Canada,POSTFIS_DIS_INC,32.2
2017,SI_DST_FISP,Canada,PREFIS_INC,40.1
2017,SI_DST_FISP,Canada,POSTFIS_DIS_INC,31.1
2018,SI_DST_FISP,Canada,PREFIS_INC,40.648737
2018,SI_DST_FISP,Canada,POSTFIS_DIS_INC,31.488442
2019,SI_DST_FISP,Canada,PREFIS_INC,39.755215
2019,SI_DST_FISP,Canada,POSTFIS_DIS_INC,30.883409
2020,SI_DST_FISP,Canada,PREFIS_INC,38.722203
2020,SI_DST_FISP,Canada,POSTFIS_DIS_INC,30.340073
2015,SI_DST_FISP,Chile,PREFIS_INC,47.6
2015,SI_DST_FISP,Chile,POSTFIS_DIS_INC,45.3
2017,SI_DST_FISP,Chile,PREFIS_INC,48.4
2017,SI_DST_FISP,Chile,POSTFIS_DIS_INC,45.9
2014,SI_DST_FISP,China,POSTFIS_CON_INC,52.25191
2014,SI_DST_FISP,China,POSTFIS_DIS_INC,52.07818
2014,SI_DST_FISP,China,PREFIS_INC,55.58275
2014,SI_DST_FISP,Colombia,PREFIS_INC,57.52617
2014,SI_DST_FISP,Colombia,POSTFIS_DIS_INC,56.55168
2014,SI_DST_FISP,Colombia,POSTFIS_CON_INC,55.8568
2017,SI_DST_FISP,Colombia,PREFIS_INC,55.1
2017,SI_DST_FISP,Colombia,POSTFIS_DIS_INC,51.7
2017,SI_DST_FISP,Colombia,POSTFIS_CON_INC,51.5
2015,SI_DST_FISP,Costa Rica,PREFIS_INC,50.198741
2015,SI_DST_FISP,Costa Rica,POSTFIS_DIS_INC,46.902671
2016,SI_DST_FISP,Costa Rica,PREFIS_INC,51.071048
2016,SI_DST_FISP,Costa Rica,POSTFIS_DIS_INC,47.269374
2017,SI_DST_FISP,Costa Rica,PREFIS_INC,50.644472
2017,SI_DST_FISP,Costa Rica,POSTFIS_DIS_INC,46.947218
2018,SI_DST_FISP,Costa Rica,PREFIS_INC,50.704634
2018,SI_DST_FISP,Costa Rica,POSTFIS_DIS_INC,46.819344
2019,SI_DST_FISP,Costa Rica,PREFIS_INC,50.855594
2019,SI_DST_FISP,Costa Rica,POSTFIS_DIS_INC,46.982048
2020,SI_DST_FISP,Costa Rica,PREFIS_INC,55.250121
2020,SI_DST_FISP,Costa Rica,POSTFIS_DIS_INC,49.125533
2014,SI_DST_FISP,Croatia,PREFIS_INC,39.17914
2014,SI_DST_FISP,Croatia,POSTFIS_DIS_INC,32.5
2014,SI_DST_FISP,Croatia,POSTFIS_CON_INC,35.5
2015,SI_DST_FISP,Czechia,PREFIS_INC,38.086135
2015,SI_DST_FISP,Czechia,POSTFIS_DIS_INC,25.474779
2016,SI_DST_FISP,Czechia,PREFIS_INC,37.824516
2016,SI_DST_FISP,Czechia,POSTFIS_DIS_INC,25.459654
2017,SI_DST_FISP,Czechia,POSTFIS_DIS_INC,24.945376
2017,SI_DST_FISP,Czechia,PREFIS_INC,36.459123
2018,SI_DST_FISP,Czechia,PREFIS_INC,34.718572
2018,SI_DST_FISP,Czechia,POSTFIS_DIS_INC,24.271795
2019,SI_DST_FISP,Czechia,PREFIS_INC,34.181567
2019,SI_DST_FISP,Czechia,POSTFIS_DIS_INC,24.118529
2020,SI_DST_FISP,Czechia,PREFIS_INC,33.770586
2020,SI_DST_FISP,Czechia,POSTFIS_DIS_INC,24.053106
2015,SI_DST_FISP,Denmark,PREFIS_INC,40.99
2015,SI_DST_FISP,Denmark,POSTFIS_DIS_INC,26.5
2016,SI_DST_FISP,Denmark,PREFIS_INC,40.46
2016,SI_DST_FISP,Denmark,POSTFIS_DIS_INC,26.3
2017,SI_DST_FISP,Denmark,PREFIS_INC,40.24
2017,SI_DST_FISP,Denmark,POSTFIS_DIS_INC,26.47
2018,SI_DST_FISP,Denmark,POSTFIS_DIS_INC,26.42
2018,SI_DST_FISP,Denmark,PREFIS_INC,39.81
2015,SI_DST_FISP,Estonia,POSTFIS_DIS_INC,33.775412
2015,SI_DST_FISP,Estonia,PREFIS_INC,42.152965
2016,SI_DST_FISP,Estonia,POSTFIS_DIS_INC,31.822288
2016,SI_DST_FISP,Estonia,PREFIS_INC,39.818575
2017,SI_DST_FISP,Estonia,PREFIS_INC,37.991551
2017,SI_DST_FISP,Estonia,POSTFIS_DIS_INC,29.936293
2018,SI_DST_FISP,Estonia,POSTFIS_DIS_INC,29.233655
2018,SI_DST_FISP,Estonia,PREFIS_INC,36.92428
2019,SI_DST_FISP,Estonia,PREFIS_INC,36.421769
2019,SI_DST_FISP,Estonia,POSTFIS_DIS_INC,28.690843
2020,SI_DST_FISP,Estonia,PREFIS_INC,39.365542
2020,SI_DST_FISP,Estonia,POSTFIS_DIS_INC,28.951989
2015,SI_DST_FISP,Finland,PREFIS_INC,42.39
2015,SI_DST_FISP,Finland,POSTFIS_DIS_INC,26.228
2016,SI_DST_FISP,Finland,POSTFIS_DIS_INC,26.719
2016,SI_DST_FISP,Finland,PREFIS_INC,43.562
2017,SI_DST_FISP,Finland,PREFIS_INC,43.336
2017,SI_DST_FISP,Finland,POSTFIS_DIS_INC,26.54
2018,SI_DST_FISP,Finland,POSTFIS_DIS_INC,27.521
2018,SI_DST_FISP,Finland,PREFIS_INC,43.554
2019,SI_DST_FISP,Finland,PREFIS_INC,42.857
2019,SI_DST_FISP,Finland,POSTFIS_DIS_INC,27.54
2015,SI_DST_FISP,France,PREFIS_INC,45.4
2015,SI_DST_FISP,France,POSTFIS_DIS_INC,29.9
2016,SI_DST_FISP,France,PREFIS_INC,45.2
2016,SI_DST_FISP,France,POSTFIS_DIS_INC,29.6
2017,SI_DST_FISP,France,PREFIS_INC,45.1
2017,SI_DST_FISP,France,POSTFIS_DIS_INC,29.6
2018,SI_DST_FISP,France,POSTFIS_DIS_INC,30.7
2018,SI_DST_FISP,France,PREFIS_INC,45.8
2019,SI_DST_FISP,France,PREFIS_INC,44.5
2019,SI_DST_FISP,France,POSTFIS_DIS_INC,29.7
2013,SI_DST_FISP,Georgia,PREFIS_INC,50.74478
2013,SI_DST_FISP,Georgia,POSTFIS_DIS_INC,39.48693
2013,SI_DST_FISP,Georgia,POSTFIS_CON_INC,41.1303
2015,SI_DST_FISP,Germany,PREFIS_INC,41.03
2015,SI_DST_FISP,Germany,POSTFIS_DIS_INC,29.43
2016,SI_DST_FISP,Germany,PREFIS_INC,41.917
2016,SI_DST_FISP,Germany,POSTFIS_DIS_INC,30.05
2017,SI_DST_FISP,Germany,PREFIS_INC,41.546
2017,SI_DST_FISP,Germany,POSTFIS_DIS_INC,30.06
2018,SI_DST_FISP,Germany,PREFIS_INC,40.962
2018,SI_DST_FISP,Germany,POSTFIS_DIS_INC,29.551
2019,SI_DST_FISP,Germany,PREFIS_INC,40.53
2019,SI_DST_FISP,Germany,POSTFIS_DIS_INC,29.413
2015,SI_DST_FISP,Greece,PREFIS_INC,50.411384
2015,SI_DST_FISP,Greece,POSTFIS_DIS_INC,34.955279
2016,SI_DST_FISP,Greece,PREFIS_INC,49.183109
2016,SI_DST_FISP,Greece,POSTFIS_DIS_INC,35.430129
2017,SI_DST_FISP,Greece,PREFIS_INC,47.540503
2017,SI_DST_FISP,Greece,POSTFIS_DIS_INC,34.448215
2018,SI_DST_FISP,Greece,PREFIS_INC,46.744698
2018,SI_DST_FISP,Greece,POSTFIS_DIS_INC,33.134895
2019,SI_DST_FISP,Greece,PREFIS_INC,45.473481
2019,SI_DST_FISP,Greece,POSTFIS_DIS_INC,31.601518
2020,SI_DST_FISP,Greece,PREFIS_INC,45.295949
2020,SI_DST_FISP,Greece,POSTFIS_DIS_INC,31.743328
2015,SI_DST_FISP,Hungary,PREFIS_INC,42.465365
2015,SI_DST_FISP,Hungary,POSTFIS_DIS_INC,28.816211
2016,SI_DST_FISP,Hungary,PREFIS_INC,42.305553
2016,SI_DST_FISP,Hungary,POSTFIS_DIS_INC,29.101265
2017,SI_DST_FISP,Hungary,PREFIS_INC,40.896112
2017,SI_DST_FISP,Hungary,POSTFIS_DIS_INC,28.640606
2018,SI_DST_FISP,Hungary,PREFIS_INC,40.465225
2018,SI_DST_FISP,Hungary,POSTFIS_DIS_INC,29.379279
2019,SI_DST_FISP,Hungary,PREFIS_INC,39.115711
2019,SI_DST_FISP,Hungary,POSTFIS_DIS_INC,28.700918
2020,SI_DST_FISP,Hungary,PREFIS_INC,38.602367
2020,SI_DST_FISP,Hungary,POSTFIS_DIS_INC,28.066106
2015,SI_DST_FISP,Iceland,PREFIS_INC,33.050348
2015,SI_DST_FISP,Iceland,POSTFIS_DIS_INC,24.345049
2016,SI_DST_FISP,Iceland,POSTFIS_DIS_INC,25.631502
2016,SI_DST_FISP,Iceland,PREFIS_INC,33.086683
2017,SI_DST_FISP,Iceland,PREFIS_INC,32.589317
2017,SI_DST_FISP,Iceland,POSTFIS_DIS_INC,26.203221
2018,SI_DST_FISP,Iceland,PREFIS_INC,31.727957
2018,SI_DST_FISP,Iceland,POSTFIS_DIS_INC,24.884384
2015,SI_DST_FISP,Ireland,PREFIS_INC,50.655401
2015,SI_DST_FISP,Ireland,POSTFIS_DIS_INC,30.03327
2016,SI_DST_FISP,Ireland,PREFIS_INC,49.769354
2016,SI_DST_FISP,Ireland,POSTFIS_DIS_INC,30.010895
2017,SI_DST_FISP,Ireland,PREFIS_INC,49.424531
2017,SI_DST_FISP,Ireland,POSTFIS_DIS_INC,31.129261
2018,SI_DST_FISP,Ireland,PREFIS_INC,47.932418
2018,SI_DST_FISP,Ireland,POSTFIS_DIS_INC,29.275797
2019,SI_DST_FISP,Ireland,PREFIS_INC,46.596949
2019,SI_DST_FISP,Ireland,POSTFIS_DIS_INC,29.372975
2015,SI_DST_FISP,Israel,PREFIS_INC,42.912
2015,SI_DST_FISP,Israel,POSTFIS_DIS_INC,34.646
2016,SI_DST_FISP,Israel,POSTFIS_DIS_INC,33.471
2016,SI_DST_FISP,Israel,PREFIS_INC,42.135
2017,SI_DST_FISP,Israel,PREFIS_INC,41.261
2017,SI_DST_FISP,Israel,POSTFIS_DIS_INC,32.74
2018,SI_DST_FISP,Israel,PREFIS_INC,41.613
2018,SI_DST_FISP,Israel,POSTFIS_DIS_INC,32.954
2015,SI_DST_FISP,Italy,PREFIS_INC,43.867821
2015,SI_DST_FISP,Italy,POSTFIS_DIS_INC,33.014365
2016,SI_DST_FISP,Italy,PREFIS_INC,45.218349
2016,SI_DST_FISP,Italy,POSTFIS_DIS_INC,33.861922
2017,SI_DST_FISP,Italy,PREFIS_INC,44.061294
2017,SI_DST_FISP,Italy,POSTFIS_DIS_INC,33.099839
2018,SI_DST_FISP,Italy,PREFIS_INC,44.110589
2018,SI_DST_FISP,Italy,POSTFIS_DIS_INC,34.032354
2019,SI_DST_FISP,Italy,PREFIS_INC,43.332003
2019,SI_DST_FISP,Italy,POSTFIS_DIS_INC,33.301538
2019,SI_DST_FISP,Japan,PREFIS_INC,39.2
2019,SI_DST_FISP,Japan,POSTFIS_DIS_INC,32.4
2016,SI_DST_FISP,Republic of Korea,POSTFIS_DIS_INC,33.7
2016,SI_DST_FISP,Republic of Korea,PREFIS_INC,36.7
2017,SI_DST_FISP,Republic of Korea,PREFIS_INC,37.1
2017,SI_DST_FISP,Republic of Korea,POSTFIS_DIS_INC,33.8
2018,SI_DST_FISP,Republic of Korea,PREFIS_INC,37.3
2018,SI_DST_FISP,Republic of Korea,POSTFIS_DIS_INC,33.7
2019,SI_DST_FISP,Republic of Korea,POSTFIS_DIS_INC,32.5
2019,SI_DST_FISP,Republic of Korea,PREFIS_INC,36.6
2016,SI_DST_FISP,Кыргызстан,PREFIS_INC,23.41573
2016,SI_DST_FISP,Кыргызстан,POSTFIS_DIS_INC,21.43487
2016,SI_DST_FISP,Кыргызстан,POSTFIS_CON_INC,21.8816
2015,SI_DST_FISP,Latvia,PREFIS_INC,41.950135
2015,SI_DST_FISP,Latvia,POSTFIS_DIS_INC,33.902096
2016,SI_DST_FISP,Latvia,PREFIS_INC,41.370295
2016,SI_DST_FISP,Latvia,POSTFIS_DIS_INC,33.76925
2017,SI_DST_FISP,Latvia,POSTFIS_DIS_INC,33.291843
2017,SI_DST_FISP,Latvia,PREFIS_INC,40.59097
2018,SI_DST_FISP,Latvia,PREFIS_INC,41.582211
2018,SI_DST_FISP,Latvia,POSTFIS_DIS_INC,34.218942
