Year,SeriesCode,Страна ,Education level,Value
2017,SE_ACS_H2O,Albania,UPPSEC,57.7381
2018,SE_ACS_H2O,Albania,LOWSEC,68.84758
2018,SE_ACS_H2O,Albania,UPPSEC,63.23232
2018,SE_ACS_H2O,Albania,PRIMAR,54.98747
2019,SE_ACS_H2O,Albania,LOWSEC,72.97084
2019,SE_ACS_H2O,Albania,PRIMAR,53.36077
2019,SE_ACS_H2O,Albania,UPPSEC,65.99598
2020,SE_ACS_H2O,Albania,UPPSEC,85.42914
2020,SE_ACS_H2O,Albania,PRIMAR,59.72744
2020,SE_ACS_H2O,Albania,LOWSEC,82.16612
2021,SE_ACS_H2O,Albania,LOWSEC,72.35495
2015,SE_ACS_H2O,Portugal,UPPSEC,100.0
2016,SE_ACS_H2O,Portugal,LOWSEC,100.0
2016,SE_ACS_H2O,Portugal,UPPSEC,100.0
2016,SE_ACS_H2O,Portugal,PRIMAR,100.0
2017,SE_ACS_H2O,Portugal,LOWSEC,100.0
2017,SE_ACS_H2O,Portugal,UPPSEC,100.0
2018,SE_ACS_H2O,Portugal,UPPSEC,100.0
2018,SE_ACS_H2O,Portugal,LOWSEC,100.0
2018,SE_ACS_H2O,Portugal,PRIMAR,100.0
2014,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2014,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2014,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2015,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2015,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2015,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2016,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2016,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2016,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2017,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2017,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2017,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2018,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2018,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2018,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2019,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2019,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2019,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2020,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2020,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2020,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2021,SE_ACS_H2O,Slovakia,UPPSEC,100.0
2021,SE_ACS_H2O,Slovakia,LOWSEC,100.0
2021,SE_ACS_H2O,Slovakia,PRIMAR,100.0
2019,SE_ACS_H2O,Viet Nam,PRIMAR,95.61483
2021,SE_ACS_H2O,Viet Nam,UPPSEC,37.43537
2021,SE_ACS_H2O,Viet Nam,LOWSEC,43.05723
2021,SE_ACS_H2O,Viet Nam,PRIMAR,50.45401
2000,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2000,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2001,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2001,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2002,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2002,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2003,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2021,SE_ACS_H2O,Albania,PRIMAR,72.35495
2021,SE_ACS_H2O,Albania,UPPSEC,67.46988
2016,SE_ACS_H2O,Azerbaijan,LOWSEC,100.0
2016,SE_ACS_H2O,Azerbaijan,PRIMAR,100.0
2016,SE_ACS_H2O,Azerbaijan,UPPSEC,100.0
2017,SE_ACS_H2O,Azerbaijan,UPPSEC,100.0
2017,SE_ACS_H2O,Azerbaijan,PRIMAR,100.0
2017,SE_ACS_H2O,Azerbaijan,LOWSEC,100.0
2018,SE_ACS_H2O,Azerbaijan,LOWSEC,100.0
2018,SE_ACS_H2O,Azerbaijan,PRIMAR,100.0
2018,SE_ACS_H2O,Azerbaijan,UPPSEC,100.0
2003,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2004,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2004,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2004,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2005,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2005,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2005,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2006,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2006,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2006,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2007,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2019,SE_ACS_H2O,Azerbaijan,UPPSEC,100.0
2019,SE_ACS_H2O,Azerbaijan,PRIMAR,100.0
2019,SE_ACS_H2O,Azerbaijan,LOWSEC,100.0
2020,SE_ACS_H2O,Azerbaijan,UPPSEC,100.0
2020,SE_ACS_H2O,Azerbaijan,LOWSEC,100.0
2020,SE_ACS_H2O,Azerbaijan,PRIMAR,100.0
2021,SE_ACS_H2O,Azerbaijan,UPPSEC,100.0
2021,SE_ACS_H2O,Azerbaijan,PRIMAR,100.0
2021,SE_ACS_H2O,Azerbaijan,LOWSEC,100.0
2000,SE_ACS_H2O,Australia,UPPSEC,100.0
2000,SE_ACS_H2O,Australia,PRIMAR,100.0
2007,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2007,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2008,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2008,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2008,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2009,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2009,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2009,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2010,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2010,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2010,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2000,SE_ACS_H2O,Australia,LOWSEC,100.0
2001,SE_ACS_H2O,Australia,LOWSEC,100.0
2001,SE_ACS_H2O,Australia,PRIMAR,100.0
2001,SE_ACS_H2O,Australia,UPPSEC,100.0
2002,SE_ACS_H2O,Australia,UPPSEC,100.0
2002,SE_ACS_H2O,Australia,PRIMAR,100.0
2002,SE_ACS_H2O,Australia,LOWSEC,100.0
2003,SE_ACS_H2O,Australia,LOWSEC,100.0
2003,SE_ACS_H2O,Australia,PRIMAR,100.0
2003,SE_ACS_H2O,Australia,UPPSEC,100.0
2004,SE_ACS_H2O,Australia,PRIMAR,100.0
2011,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2011,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2011,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2012,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2012,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2012,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2013,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2013,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2013,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2014,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2014,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2004,SE_ACS_H2O,Australia,UPPSEC,100.0
2004,SE_ACS_H2O,Australia,LOWSEC,100.0
2005,SE_ACS_H2O,Australia,LOWSEC,100.0
2005,SE_ACS_H2O,Australia,UPPSEC,100.0
2005,SE_ACS_H2O,Australia,PRIMAR,100.0
2006,SE_ACS_H2O,Australia,PRIMAR,100.0
2006,SE_ACS_H2O,Australia,UPPSEC,100.0
2006,SE_ACS_H2O,Australia,LOWSEC,100.0
2007,SE_ACS_H2O,Australia,LOWSEC,100.0
2007,SE_ACS_H2O,Australia,UPPSEC,100.0
2007,SE_ACS_H2O,Australia,PRIMAR,100.0
2014,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2015,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2015,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2015,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2016,SE_ACS_H2O,Slovenia,PRIMAR,100.0
2016,SE_ACS_H2O,Slovenia,UPPSEC,100.0
2016,SE_ACS_H2O,Slovenia,LOWSEC,100.0
2000,SE_ACS_H2O,Spain,LOWSEC,100.0
2000,SE_ACS_H2O,Spain,PRIMAR,100.0
2001,SE_ACS_H2O,Spain,PRIMAR,100.0
2001,SE_ACS_H2O,Spain,LOWSEC,100.0
2008,SE_ACS_H2O,Australia,PRIMAR,100.0
2008,SE_ACS_H2O,Australia,UPPSEC,100.0
2008,SE_ACS_H2O,Australia,LOWSEC,100.0
2009,SE_ACS_H2O,Australia,LOWSEC,100.0
2009,SE_ACS_H2O,Australia,UPPSEC,100.0
2009,SE_ACS_H2O,Australia,PRIMAR,100.0
2010,SE_ACS_H2O,Australia,PRIMAR,100.0
2010,SE_ACS_H2O,Australia,UPPSEC,100.0
2010,SE_ACS_H2O,Australia,LOWSEC,100.0
2011,SE_ACS_H2O,Australia,LOWSEC,100.0
2011,SE_ACS_H2O,Australia,UPPSEC,100.0
2002,SE_ACS_H2O,Spain,LOWSEC,100.0
2002,SE_ACS_H2O,Spain,PRIMAR,100.0
2003,SE_ACS_H2O,Spain,PRIMAR,100.0
2003,SE_ACS_H2O,Spain,LOWSEC,100.0
2004,SE_ACS_H2O,Spain,LOWSEC,100.0
2004,SE_ACS_H2O,Spain,PRIMAR,100.0
2005,SE_ACS_H2O,Spain,PRIMAR,100.0
2005,SE_ACS_H2O,Spain,LOWSEC,100.0
2006,SE_ACS_H2O,Spain,LOWSEC,100.0
2006,SE_ACS_H2O,Spain,PRIMAR,100.0
2007,SE_ACS_H2O,Spain,PRIMAR,100.0
2011,SE_ACS_H2O,Australia,PRIMAR,100.0
2012,SE_ACS_H2O,Australia,PRIMAR,100.0
2012,SE_ACS_H2O,Australia,UPPSEC,100.0
2012,SE_ACS_H2O,Australia,LOWSEC,100.0
2013,SE_ACS_H2O,Australia,LOWSEC,100.0
2013,SE_ACS_H2O,Australia,UPPSEC,100.0
2013,SE_ACS_H2O,Australia,PRIMAR,100.0
2014,SE_ACS_H2O,Australia,PRIMAR,100.0
2014,SE_ACS_H2O,Australia,UPPSEC,100.0
2014,SE_ACS_H2O,Australia,LOWSEC,100.0
2015,SE_ACS_H2O,Australia,LOWSEC,100.0
2007,SE_ACS_H2O,Spain,UPPSEC,100.0
2007,SE_ACS_H2O,Spain,LOWSEC,100.0
2008,SE_ACS_H2O,Spain,LOWSEC,100.0
2008,SE_ACS_H2O,Spain,UPPSEC,100.0
2008,SE_ACS_H2O,Spain,PRIMAR,100.0
2009,SE_ACS_H2O,Spain,PRIMAR,100.0
2009,SE_ACS_H2O,Spain,UPPSEC,100.0
2009,SE_ACS_H2O,Spain,LOWSEC,100.0
2010,SE_ACS_H2O,Spain,LOWSEC,100.0
2010,SE_ACS_H2O,Spain,UPPSEC,100.0
2010,SE_ACS_H2O,Spain,PRIMAR,100.0
2015,SE_ACS_H2O,Australia,UPPSEC,100.0
2015,SE_ACS_H2O,Australia,PRIMAR,100.0
2016,SE_ACS_H2O,Australia,PRIMAR,100.0
2016,SE_ACS_H2O,Australia,UPPSEC,100.0
2016,SE_ACS_H2O,Australia,LOWSEC,100.0
2019,SE_ACS_H2O,Armenia,UPPSEC,96.42185
2019,SE_ACS_H2O,Armenia,PRIMAR,99.84508
2019,SE_ACS_H2O,Armenia,LOWSEC,97.52896
2020,SE_ACS_H2O,Armenia,LOWSEC,97.97823
2020,SE_ACS_H2O,Armenia,PRIMAR,97.73967
2020,SE_ACS_H2O,Armenia,UPPSEC,96.42185
2011,SE_ACS_H2O,Spain,UPPSEC,100.0
2011,SE_ACS_H2O,Spain,LOWSEC,100.0
2011,SE_ACS_H2O,Spain,PRIMAR,100.0
2012,SE_ACS_H2O,Spain,LOWSEC,100.0
2012,SE_ACS_H2O,Spain,UPPSEC,100.0
2012,SE_ACS_H2O,Spain,PRIMAR,100.0
2013,SE_ACS_H2O,Spain,PRIMAR,100.0
2013,SE_ACS_H2O,Spain,UPPSEC,100.0
2013,SE_ACS_H2O,Spain,LOWSEC,100.0
2014,SE_ACS_H2O,Spain,LOWSEC,100.0
2014,SE_ACS_H2O,Spain,UPPSEC,100.0
2014,SE_ACS_H2O,Spain,PRIMAR,100.0
2015,SE_ACS_H2O,Spain,PRIMAR,100.0
2015,SE_ACS_H2O,Spain,UPPSEC,100.0
2015,SE_ACS_H2O,Spain,LOWSEC,100.0
2016,SE_ACS_H2O,Spain,UPPSEC,100.0
2016,SE_ACS_H2O,Spain,PRIMAR,100.0
2016,SE_ACS_H2O,Spain,LOWSEC,100.0
2017,SE_ACS_H2O,Spain,PRIMAR,100.0
2017,SE_ACS_H2O,Spain,UPPSEC,100.0
2017,SE_ACS_H2O,Spain,LOWSEC,100.0
2018,SE_ACS_H2O,Spain,LOWSEC,100.0
2018,SE_ACS_H2O,Spain,UPPSEC,100.0
2018,SE_ACS_H2O,Spain,PRIMAR,100.0
2019,SE_ACS_H2O,Spain,PRIMAR,100.0
2019,SE_ACS_H2O,Spain,UPPSEC,100.0
2019,SE_ACS_H2O,Spain,LOWSEC,100.0
2020,SE_ACS_H2O,Spain,LOWSEC,100.0
2020,SE_ACS_H2O,Spain,UPPSEC,100.0
2020,SE_ACS_H2O,Spain,PRIMAR,100.0
2021,SE_ACS_H2O,Spain,UPPSEC,100.0
2021,SE_ACS_H2O,Spain,LOWSEC,100.0
2021,SE_ACS_H2O,Spain,PRIMAR,100.0
2021,SE_ACS_H2O,Armenia,UPPSEC,96.42185
2021,SE_ACS_H2O,Armenia,PRIMAR,97.73967
2021,SE_ACS_H2O,Armenia,LOWSEC,97.97823
2003,SE_ACS_H2O,Belgium,UPPSEC,100.0
2003,SE_ACS_H2O,Belgium,LOWSEC,100.0
2003,SE_ACS_H2O,Belgium,PRIMAR,100.0
2004,SE_ACS_H2O,Belgium,PRIMAR,100.0
2004,SE_ACS_H2O,Belgium,LOWSEC,100.0
2004,SE_ACS_H2O,Belgium,UPPSEC,100.0
2005,SE_ACS_H2O,Belgium,UPPSEC,100.0
2005,SE_ACS_H2O,Belgium,LOWSEC,100.0
2005,SE_ACS_H2O,Belgium,PRIMAR,100.0
2006,SE_ACS_H2O,Belgium,PRIMAR,100.0
2006,SE_ACS_H2O,Belgium,LOWSEC,100.0
2006,SE_ACS_H2O,Belgium,UPPSEC,100.0
2007,SE_ACS_H2O,Belgium,UPPSEC,100.0
2007,SE_ACS_H2O,Belgium,LOWSEC,100.0
2007,SE_ACS_H2O,Belgium,PRIMAR,100.0
2008,SE_ACS_H2O,Belgium,PRIMAR,100.0
2008,SE_ACS_H2O,Belgium,LOWSEC,100.0
2008,SE_ACS_H2O,Belgium,UPPSEC,100.0
2009,SE_ACS_H2O,Belgium,UPPSEC,100.0
2009,SE_ACS_H2O,Belgium,LOWSEC,100.0
2009,SE_ACS_H2O,Belgium,PRIMAR,100.0
2010,SE_ACS_H2O,Belgium,PRIMAR,100.0
2010,SE_ACS_H2O,Belgium,LOWSEC,100.0
2010,SE_ACS_H2O,Belgium,UPPSEC,100.0
2011,SE_ACS_H2O,Belgium,UPPSEC,100.0
2011,SE_ACS_H2O,Belgium,LOWSEC,100.0
2011,SE_ACS_H2O,Belgium,PRIMAR,100.0
2012,SE_ACS_H2O,Belgium,PRIMAR,100.0
2012,SE_ACS_H2O,Belgium,LOWSEC,100.0
2012,SE_ACS_H2O,Belgium,UPPSEC,100.0
2013,SE_ACS_H2O,Belgium,UPPSEC,100.0
2013,SE_ACS_H2O,Belgium,LOWSEC,100.0
2013,SE_ACS_H2O,Belgium,PRIMAR,100.0
2014,SE_ACS_H2O,Belgium,PRIMAR,100.0
2014,SE_ACS_H2O,Belgium,LOWSEC,100.0
2014,SE_ACS_H2O,Belgium,UPPSEC,100.0
2015,SE_ACS_H2O,Belgium,UPPSEC,100.0
2015,SE_ACS_H2O,Belgium,LOWSEC,100.0
2015,SE_ACS_H2O,Belgium,PRIMAR,100.0
2016,SE_ACS_H2O,Belgium,PRIMAR,100.0
2016,SE_ACS_H2O,Belgium,LOWSEC,100.0
2011,SE_ACS_H2O,Switzerland,PRIMAR,100.0
2011,SE_ACS_H2O,Switzerland,LOWSEC,100.0
2011,SE_ACS_H2O,Switzerland,UPPSEC,100.0
2012,SE_ACS_H2O,Switzerland,UPPSEC,100.0
2012,SE_ACS_H2O,Switzerland,LOWSEC,100.0
